iter	Logloss
0	0.6746085187
1	0.6530911601
2	0.6434728794
3	0.6292672673
4	0.611500392
5	0.5986163564
6	0.582811761
7	0.5651907442
8	0.5528182684
9	0.539946692
10	0.5276282112
11	0.518409124
12	0.5074619503
13	0.4993672568
14	0.4873405594
15	0.4780141533
16	0.4705864884
17	0.4601944461
18	0.4517711107
19	0.4451944934
20	0.4371003462
21	0.4305256113
22	0.4241513575
23	0.4165565636
24	0.4103892504
25	0.4046783412
26	0.3984574862
27	0.3901278688
28	0.3860203502
29	0.3796502827
30	0.3741068672
31	0.3681925918
32	0.3627046565
33	0.3572920251
34	0.353025759
35	0.3477535551
36	0.3423672036
37	0.3373454656
38	0.3330521471
39	0.3274996292
40	0.3212994538
41	0.316507904
42	0.3135086149
43	0.309072117
44	0.3052128783
45	0.3014516862
46	0.2977357414
47	0.2936210423
48	0.2897806187
49	0.2871954188
50	0.2819348161
51	0.2773964736
52	0.2740375194
53	0.271707869
54	0.2686872404
55	0.265290047
56	0.2618236962
57	0.257726708
58	0.255595945
59	0.2514006086
60	0.2475775439
61	0.2449188188
62	0.242675563
63	0.2404603022
64	0.2381010672
65	0.2345070684
66	0.2308921267
67	0.2289028557
68	0.2265490145
69	0.2242825909
70	0.2222788316
71	0.2199281439
72	0.2173402326
73	0.2150509618
74	0.2130077114
75	0.2111630158
76	0.2085154849
77	0.2067926985
78	0.2046786973
79	0.202387528
80	0.1998712904
81	0.1979790387
82	0.1957944216
83	0.1938217228
84	0.1918788687
85	0.189419112
86	0.1875410464
87	0.1859080816
88	0.1832726774
89	0.1817381484
90	0.1788894089
91	0.1767545176
92	0.1746860732
93	0.1732528308
94	0.1710575117
95	0.1688992167
96	0.167731962
97	0.1656869385
98	0.1645254671
99	0.1630030034
100	0.1612127818
101	0.1601735247
102	0.1586021283
103	0.156542065
104	0.1553484829
105	0.1538899871
106	0.151937919
107	0.1505846746
108	0.1494270632
109	0.1484098218
110	0.1472473059
111	0.1455731302
112	0.1447649044
113	0.1434849474
114	0.1417826611
115	0.1407615557
116	0.1393705842
117	0.1380480351
118	0.1369179392
119	0.1347805429
120	0.1336104872
121	0.132638774
122	0.1313519595
123	0.1304950693
124	0.1292266579
125	0.1279653196
126	0.1268065852
127	0.1255355235
128	0.1246017389
129	0.1232782649
130	0.1223315457
131	0.1213401666
132	0.1196312116
133	0.1181012855
134	0.1172839679
135	0.1162374653
136	0.1152755391
137	0.114499979
138	0.1136528961
139	0.1118145276
140	0.1109245278
141	0.1095523423
142	0.108465591
143	0.1074807596
144	0.1067762966
145	0.1061945138
146	0.1054330016
147	0.1045881753
148	0.1038560369
149	0.1029919613
150	0.1020057619
151	0.1012449878
152	0.1004052705
153	0.09935001458
154	0.09846774979
155	0.09762384553
156	0.09685073683
157	0.09564011425
158	0.09495864207
159	0.09409010375
160	0.09340260012
161	0.09242041643
162	0.09149406567
163	0.09041066442
164	0.08941645183
165	0.08845237034
166	0.08756112555
167	0.08663775306
168	0.08615329289
169	0.08557374587
170	0.08492445148
171	0.08412937623
172	0.08342602209
173	0.08285375556
174	0.08201905121
175	0.08104162186
176	0.08063964953
177	0.0801044665
178	0.0796782886
179	0.07891408874
180	0.07828221155
181	0.07756260201
182	0.0767984811
183	0.07620659185
184	0.07562533246
185	0.07514174916
186	0.07463988124
187	0.07407406584
188	0.07349822087
189	0.0730289582
190	0.07259709108
191	0.07207413217
192	0.07134643622
193	0.07077262999
194	0.07024192155
195	0.06962305275
196	0.06875392018
197	0.06828046698
198	0.06778009584
199	0.06728862781
200	0.06693901756
201	0.06642103287
202	0.0658522337
203	0.0654768393
204	0.0651222298
205	0.0644431249
206	0.06403676322
207	0.06344584221
208	0.06286706923
209	0.06208302938
210	0.06158735312
211	0.06068279888
212	0.06017808164
213	0.05968844982
214	0.05916731525
215	0.05861549351
216	0.05825444539
217	0.05779783807
218	0.05737849897
219	0.05685899284
220	0.05629734762
221	0.05564097916
222	0.0552041733
223	0.05492587572
224	0.05431040663
225	0.05389725028
226	0.05340230156
227	0.05280062196
228	0.05237179536
229	0.05173574844
230	0.05127443565
231	0.05087093817
232	0.05027137115
233	0.05000008746
234	0.04947506938
235	0.04915530913
236	0.04883734189
237	0.04835852062
238	0.04807932655
239	0.04752264916
240	0.047099879
241	0.04664834204
242	0.04627800381
243	0.04598228294
244	0.04557204083
245	0.04510587983
246	0.04465171905
247	0.04434772352
248	0.04401745352
249	0.04367704878
250	0.04335508645
251	0.04293653622
252	0.0425809467
253	0.04214268924
254	0.04189672011
255	0.04144729357
256	0.04086650959
257	0.04053199329
258	0.04023306361
259	0.03981059352
260	0.03939057936
261	0.0389587566
262	0.03866142447
263	0.03834123742
264	0.03806345205
265	0.03771917765
266	0.03740418646
267	0.0371669373
268	0.03689084785
269	0.03650015926
270	0.03614727289
271	0.0357469374
272	0.03543046931
273	0.03507404843
274	0.03485441904
275	0.03456719842
276	0.03428410494
277	0.03404451647
278	0.03354490937
279	0.03334853616
280	0.03314491383
281	0.03284233151
282	0.0326061279
283	0.0323854667
284	0.0321657489
285	0.03192402286
286	0.03171001539
287	0.03130942461
288	0.03097195515
289	0.03068797591
290	0.03042039593
291	0.03022673076
292	0.02992547393
293	0.02977090517
294	0.02942323163
295	0.0292137157
296	0.02892951763
297	0.02871391034
298	0.02851013336
299	0.02827468608
300	0.02805627914
301	0.02781649641
302	0.02757468815
303	0.02739313768
304	0.02719622281
305	0.02699390202
306	0.02675862
307	0.02641969744
308	0.02621830323
309	0.02591789759
310	0.02574634756
311	0.02554019693
312	0.02530530551
313	0.02500735813
314	0.0248491087
315	0.02466139787
316	0.02447282565
317	0.02432050399
318	0.02408542457
319	0.02382562041
320	0.02363270165
321	0.02342113276
322	0.02323597319
323	0.02296705813
324	0.0227898274
325	0.02266371761
326	0.02250786041
327	0.02235390334
328	0.02218202131
329	0.02207431244
330	0.02195534739
331	0.02179510672
332	0.02166448134
333	0.02150447606
334	0.02139973891
335	0.02121610503
336	0.0210542144
337	0.02091613761
338	0.02075749386
339	0.02058752634
340	0.0204184275
341	0.02028990568
342	0.02006575491
343	0.01992419151
344	0.01979405106
345	0.01964349767
346	0.01955056925
347	0.01941029929
348	0.01929310551
349	0.01913539064
350	0.01896216188
351	0.01884676415
352	0.0187271436
353	0.01858556867
354	0.01847996545
355	0.01833969392
356	0.01821583746
357	0.01804909509
358	0.01796343376
359	0.01787251675
360	0.01772391808
361	0.01763214075
362	0.01752413058
363	0.017410929
364	0.01732428869
365	0.01721766188
366	0.01709988542
367	0.01700121765
368	0.01691080391
369	0.01679571429
370	0.01669910029
371	0.0165875806
372	0.01648432754
373	0.01637024563
374	0.01626643588
375	0.01610981448
376	0.01603621296
377	0.01594540961
378	0.01585347985
379	0.01572937663
380	0.01561491598
381	0.01550602726
382	0.01538797869
383	0.01528223472
384	0.01521832677
385	0.01514514712
386	0.01507913343
387	0.01499676469
388	0.01489367683
389	0.01476327236
390	0.01469017275
391	0.01459490305
392	0.0145214755
393	0.01445495161
394	0.01436901458
395	0.01429942585
396	0.01420704305
397	0.01413635533
398	0.01407986151
399	0.01400220126
400	0.01391048788
401	0.01381431402
402	0.013737011
403	0.01363729644
404	0.01358839131
405	0.01351342979
406	0.01343324726
407	0.01336195234
408	0.01330637655
409	0.01323407026
410	0.01319101401
411	0.01311051257
412	0.01301795076
413	0.01295139401
414	0.01288738499
415	0.01284135841
416	0.01276889093
417	0.01272482324
418	0.0126357058
419	0.01256979066
420	0.01252932377
421	0.01244465596
422	0.01237148449
423	0.0122626716
424	0.01220953873
425	0.01213681585
426	0.01207080547
427	0.01200575002
428	0.01193028475
429	0.0118972458
430	0.01183430136
431	0.01176465379
432	0.01168656379
433	0.01163296863
434	0.01156437897
435	0.01150901139
436	0.01144393496
437	0.01136053158
438	0.0113097393
439	0.01124314609
440	0.01119607855
441	0.01114749614
442	0.01109691119
443	0.01102374956
444	0.01097966537
445	0.01093065392
446	0.01087982355
447	0.0108468103
448	0.0107714297
449	0.01071514078
450	0.01066333378
451	0.01061347987
452	0.01054639761
453	0.01049887388
454	0.01045594406
455	0.01037871404
456	0.01032598976
457	0.01027178486
458	0.01021636126
459	0.01016717527
460	0.01012297169
461	0.01007718196
462	0.01003238613
463	0.009972569215
464	0.009938506763
465	0.009886762881
466	0.009838670413
467	0.00977919763
468	0.009744396395
469	0.009690432882
470	0.009649038179
471	0.009616947782
472	0.009568224649
473	0.009523165932
474	0.009490620506
475	0.009453324284
476	0.009403880109
477	0.009370520757
478	0.00934116588
479	0.009310262018
480	0.009272491797
481	0.009241774282
482	0.009195697345
483	0.009141101735
484	0.009084258288
485	0.009039369334
486	0.009007810293
487	0.008961109758
488	0.008931565432
489	0.008888115808
490	0.008841801329
491	0.008807070616
492	0.008757612033
493	0.008721787611
494	0.008675079234
495	0.00864767445
496	0.008621986896
497	0.008580876756
498	0.008547106577
499	0.008516622827
500	0.008473966604
501	0.008435833619
502	0.008393605498
503	0.008354324849
504	0.008304593244
505	0.008273392829
506	0.008230229847
507	0.008206338217
508	0.008181604911
509	0.00813208591
510	0.00809239374
511	0.008059655379
512	0.008026813497
513	0.00799514617
514	0.007952117906
515	0.007926095858
516	0.007890959695
517	0.007868087993
518	0.007838798718
519	0.007808166982
520	0.007768867416
521	0.007750436747
522	0.007716891863
523	0.007682927801
